| Epoch: 1/10000 (1/1) | Loss: 2.556 | 0.96 steps/s | Step: 0k | 
| Epoch: 2/10000 (1/1) | Loss: 2.369 | 1.1 steps/s | Step: 0k | 
| Epoch: 1/10000 (1/1) | Loss: 2.558 | 1.4 steps/s | Step: 0k | 
| Epoch: 1/10000 (1/1) | Loss: 6.158 | 0.22 steps/s | Step: 2 | 
| Epoch: 2/10000 (1/1) | Loss: 5.969 | 0.20 steps/s | Step: 3 | 
| Epoch: 1/10000 (1/1) | Loss: 6.158 | 0.22 steps/s | Step: 2 | 
| Epoch: 2/10000 (1/1) | Loss: 5.971 | 0.20 steps/s | Step: 3 | 
| Epoch: 3/10000 (1/1) | Loss: 5.661 | 0.18 steps/s | Step: 4 | 
| Epoch: 4/10000 (1/1) | Loss: 5.084 | 0.18 steps/s | Step: 5 | 
| Epoch: 5/10000 (1/1) | Loss: 4.402 | 0.18 steps/s | Step: 6 | 
| Epoch: 6/10000 (1/1) | Loss: 3.882 | 0.18 steps/s | Step: 7 | 
| Epoch: 7/10000 (1/1) | Loss: 3.379 | 0.18 steps/s | Step: 8 | 
| Epoch: 8/10000 (1/1) | Loss: 2.945 | 0.18 steps/s | Step: 9 | 
| Epoch: 9/10000 (1/1) | Loss: 2.660 | 0.17 steps/s | Step: 10 | 
| Epoch: 10/10000 (1/1) | Loss: 2.406 | 0.17 steps/s | Step: 11 | 
| Epoch: 11/10000 (1/1) | Loss: 2.161 | 0.17 steps/s | Step: 12 | 
| Epoch: 12/10000 (1/1) | Loss: 1.930 | 0.16 steps/s | Step: 13 | 
| Epoch: 13/10000 (1/1) | Loss: 1.733 | 0.18 steps/s | Step: 14 | 
| Epoch: 14/10000 (1/1) | Loss: 1.574 | 0.18 steps/s | Step: 15 | 
| Epoch: 15/10000 (1/1) | Loss: 1.456 | 0.16 steps/s | Step: 16 | 
| Epoch: 16/10000 (1/1) | Loss: 1.344 | 0.18 steps/s | Step: 17 | 
| Epoch: 1/7401 (1/1) | Loss: 0.1210 | 0.22 steps/s | Step: 2601 | 
| Epoch: 2/7401 (1/1) | Loss: 0.1193 | 0.19 steps/s | Step: 2602 | 
| Epoch: 3/7401 (1/1) | Loss: 0.1193 | 0.18 steps/s | Step: 2603 | 
| Epoch: 4/7401 (1/1) | Loss: 0.1197 | 0.18 steps/s | Step: 2604 | 
| Epoch: 5/7401 (1/1) | Loss: 0.1230 | 0.18 steps/s | Step: 2605 | 
| Epoch: 6/7401 (1/1) | Loss: 0.1230 | 0.18 steps/s | Step: 2606 | 
| Epoch: 7/7401 (1/1) | Loss: 0.1198 | 0.18 steps/s | Step: 2607 | 
| Epoch: 8/7401 (1/1) | Loss: 0.1185 | 0.18 steps/s | Step: 2608 | 
| Epoch: 9/7401 (1/1) | Loss: 0.1194 | 0.18 steps/s | Step: 2609 | 
| Epoch: 10/7401 (1/1) | Loss: 0.1207 | 0.18 steps/s | Step: 2610 | 
