| Epoch: 1/1000001 (1/1) | Loss: 11.7978 | 0.1 steps/s | Step: 0k | 
| Epoch: 2/1000001 (1/1) | Loss: 11.7238 | 0.1 steps/s | Step: 0k | 
| Epoch: 1/999999 (1/1) | Loss: 11.7083 | 2.7 steps/s | Step: 0k | 
| Epoch: 2/999999 (1/1) | Loss: 11.6641 | 3.0 steps/s | Step: 0k | 
| Epoch: 3/999999 (1/1) | Loss: 11.6084 | 3.4 steps/s | Step: 0k | 
| Epoch: 4/999999 (1/1) | Loss: 11.5657 | 2.8 steps/s | Step: 0k | 
| Epoch: 5/999999 (1/1) | Loss: 11.5077 | 2.6 steps/s | Step: 0k | 
| Epoch: 6/999999 (1/1) | Loss: 11.4240 | 2.5 steps/s | Step: 0k | 
| Epoch: 7/999999 (1/1) | Loss: 11.3465 | 2.4 steps/s | Step: 0k | 
| Epoch: 8/999999 (1/1) | Loss: 11.2419 | 2.7 steps/s | Step: 0k | 
| Epoch: 9/999999 (1/1) | Loss: 11.1262 | 2.9 steps/s | Step: 0k | 
| Epoch: 10/999999 (1/1) | Loss: 11.0014 | 2.9 steps/s | Step: 0k | 
| Epoch: 11/999999 (1/1) | Loss: 10.8502 | 3.0 steps/s | Step: 0k | 
| Epoch: 12/999999 (1/1) | Loss: 10.6893 | 2.6 steps/s | Step: 0k | 
| Epoch: 13/999999 (1/1) | Loss: 10.5076 | 2.9 steps/s | Step: 0k | 
| Epoch: 14/999999 (1/1) | Loss: 10.4021 | 2.9 steps/s | Step: 0k | 
| Epoch: 15/999999 (1/1) | Loss: 10.1711 | 3.1 steps/s | Step: 0k | 
| Epoch: 16/999999 (1/1) | Loss: 9.9474 | 2.8 steps/s | Step: 0k | 
| Epoch: 17/999999 (1/1) | Loss: 9.7127 | 2.8 steps/s | Step: 0k | 
| Epoch: 18/999999 (1/1) | Loss: 9.6829 | 2.6 steps/s | Step: 0k | 
| Epoch: 19/999999 (1/1) | Loss: 9.3704 | 2.3 steps/s | Step: 0k | 
| Epoch: 20/999999 (1/1) | Loss: 9.5410 | 2.1 steps/s | Step: 0k | 
| Epoch: 21/999999 (1/1) | Loss: 9.7695 | 2.6 steps/s | Step: 0k | 
| Epoch: 22/999999 (1/1) | Loss: 9.3718 | 2.4 steps/s | Step: 0k | 
| Epoch: 23/999999 (1/1) | Loss: 9.5748 | 2.8 steps/s | Step: 0k | 
| Epoch: 24/999999 (1/1) | Loss: 9.8063 | 2.7 steps/s | Step: 0k | 
| Epoch: 25/999999 (1/1) | Loss: 9.9061 | 2.5 steps/s | Step: 0k | 
| Epoch: 26/999999 (1/1) | Loss: 9.8798 | 2.4 steps/s | Step: 0k | 
| Epoch: 27/999999 (1/1) | Loss: 10.0399 | 2.3 steps/s | Step: 0k | 
| Epoch: 28/999999 (1/1) | Loss: 10.1164 | 2.7 steps/s | Step: 0k | 
| Epoch: 29/999999 (1/1) | Loss: 10.0753 | 2.6 steps/s | Step: 0k | 
| Epoch: 30/999999 (1/1) | Loss: 10.0538 | 2.1 steps/s | Step: 0k | 
| Epoch: 31/999999 (1/1) | Loss: 10.1141 | 2.1 steps/s | Step: 0k | 
| Epoch: 32/999999 (1/1) | Loss: 9.9716 | 2.5 steps/s | Step: 0k | 
| Epoch: 33/999999 (1/1) | Loss: 9.8060 | 2.2 steps/s | Step: 0k | 
| Epoch: 34/999999 (1/1) | Loss: 9.7251 | 2.3 steps/s | Step: 0k | 
| Epoch: 35/999999 (1/1) | Loss: 9.6533 | 2.5 steps/s | Step: 0k | 
| Epoch: 36/999999 (1/1) | Loss: 9.6028 | 2.2 steps/s | Step: 0k | 
| Epoch: 37/999999 (1/1) | Loss: 9.5326 | 2.2 steps/s | Step: 0k | 
| Epoch: 38/999999 (1/1) | Loss: 9.6747 | 2.0 steps/s | Step: 0k | 
| Epoch: 39/999999 (1/1) | Loss: 9.6749 | 2.6 steps/s | Step: 0k | 
| Epoch: 40/999999 (1/1) | Loss: 9.4084 | 1.9 steps/s | Step: 0k | 
| Epoch: 41/999999 (1/1) | Loss: 9.5246 | 2.5 steps/s | Step: 0k | 
| Epoch: 42/999999 (1/1) | Loss: 9.5714 | 2.2 steps/s | Step: 0k | 
| Epoch: 43/999999 (1/1) | Loss: 9.5566 | 2.1 steps/s | Step: 0k | 
| Epoch: 44/999999 (1/1) | Loss: 9.3783 | 2.3 steps/s | Step: 0k | 
| Epoch: 45/999999 (1/1) | Loss: 9.4462 | 2.7 steps/s | Step: 0k | 
| Epoch: 46/999999 (1/1) | Loss: 9.4836 | 2.5 steps/s | Step: 0k | 
| Epoch: 47/999999 (1/1) | Loss: 9.4833 | 2.6 steps/s | Step: 0k | 
| Epoch: 48/999999 (1/1) | Loss: 9.2792 | 2.3 steps/s | Step: 0k | 
| Epoch: 49/999999 (1/1) | Loss: 9.4804 | 2.3 steps/s | Step: 0k | 
| Epoch: 50/999999 (1/1) | Loss: 9.1638 | 2.2 steps/s | Step: 0k | 
| Epoch: 51/999999 (1/1) | Loss: 9.6406 | 2.7 steps/s | Step: 0k | 
| Epoch: 52/999999 (1/1) | Loss: 9.5510 | 2.3 steps/s | Step: 0k | 
| Epoch: 53/999999 (1/1) | Loss: 9.5908 | 2.3 steps/s | Step: 0k | 
| Epoch: 54/999999 (1/1) | Loss: 9.5361 | 2.7 steps/s | Step: 0k | 
| Epoch: 55/999999 (1/1) | Loss: 9.6491 | 2.1 steps/s | Step: 0k | 
| Epoch: 56/999999 (1/1) | Loss: 9.5067 | 2.4 steps/s | Step: 0k | 
| Epoch: 57/999999 (1/1) | Loss: 9.2482 | 2.1 steps/s | Step: 0k | 
| Epoch: 58/999999 (1/1) | Loss: 9.3295 | 2.0 steps/s | Step: 0k | 
| Epoch: 59/999999 (1/1) | Loss: 9.2452 | 2.1 steps/s | Step: 0k | 
| Epoch: 60/999999 (1/1) | Loss: 9.2919 | 2.2 steps/s | Step: 0k | 
| Epoch: 61/999999 (1/1) | Loss: 9.1923 | 2.2 steps/s | Step: 0k | 
| Epoch: 62/999999 (1/1) | Loss: 9.2419 | 2.3 steps/s | Step: 0k | 
| Epoch: 63/999999 (1/1) | Loss: 9.1759 | 2.4 steps/s | Step: 0k | 
| Epoch: 64/999999 (1/1) | Loss: 9.2345 | 2.3 steps/s | Step: 0k | 
| Epoch: 65/999999 (1/1) | Loss: 9.2339 | 3.0 steps/s | Step: 0k | 
| Epoch: 66/999999 (1/1) | Loss: 9.2345 | 2.7 steps/s | Step: 0k | 
| Epoch: 67/999999 (1/1) | Loss: 9.4196 | 3.0 steps/s | Step: 0k | 
| Epoch: 68/999999 (1/1) | Loss: 9.6189 | 2.8 steps/s | Step: 0k | 
| Epoch: 69/999999 (1/1) | Loss: 9.6161 | 2.9 steps/s | Step: 0k | 
| Epoch: 70/999999 (1/1) | Loss: 9.4146 | 2.4 steps/s | Step: 0k | 
| Epoch: 71/999999 (1/1) | Loss: 10.0839 | 3.2 steps/s | Step: 0k | 
| Epoch: 72/999999 (1/1) | Loss: 10.0623 | 3.2 steps/s | Step: 0k | 
| Epoch: 73/999999 (1/1) | Loss: 9.6303 | 2.9 steps/s | Step: 0k | 
| Epoch: 74/999999 (1/1) | Loss: 10.2042 | 2.6 steps/s | Step: 0k | 
| Epoch: 75/999999 (1/1) | Loss: 10.4733 | 2.2 steps/s | Step: 0k | 
| Epoch: 76/999999 (1/1) | Loss: 10.2789 | 3.0 steps/s | Step: 0k | 
| Epoch: 77/999999 (1/1) | Loss: 9.5395 | 2.6 steps/s | Step: 0k | 
| Epoch: 78/999999 (1/1) | Loss: 10.0756 | 2.2 steps/s | Step: 0k | 
| Epoch: 79/999999 (1/1) | Loss: 10.0046 | 2.8 steps/s | Step: 0k | 
| Epoch: 80/999999 (1/1) | Loss: 9.9039 | 3.0 steps/s | Step: 0k | 
| Epoch: 81/999999 (1/1) | Loss: 9.5631 | 2.7 steps/s | Step: 0k | 
| Epoch: 82/999999 (1/1) | Loss: 9.7387 | 2.5 steps/s | Step: 0k | 
| Epoch: 83/999999 (1/1) | Loss: 9.8977 | 2.6 steps/s | Step: 0k | 
| Epoch: 84/999999 (1/1) | Loss: 9.7306 | 2.3 steps/s | Step: 0k | 
| Epoch: 85/999999 (1/1) | Loss: 9.8766 | 2.3 steps/s | Step: 0k | 
| Epoch: 86/999999 (1/1) | Loss: 9.6924 | 2.9 steps/s | Step: 0k | 
| Epoch: 87/999999 (1/1) | Loss: 10.0363 | 2.4 steps/s | Step: 0k | 
| Epoch: 88/999999 (1/1) | Loss: 9.9324 | 2.7 steps/s | Step: 0k | 
| Epoch: 89/999999 (1/1) | Loss: 9.7744 | 2.3 steps/s | Step: 0k | 
| Epoch: 90/999999 (1/1) | Loss: 9.7812 | 2.3 steps/s | Step: 0k | 
